,objID,class,g,i,r,u,z,Predicted Class
40,1237645942905308066,GALAXY,22.42213,19.75791,20.86357,23.34578,19.41703,NQSO
41,1237645943978590300,STAR,24.73493,21.9066,22.99163,24.83072,21.71439,NQSO
42,1237645943978525509,GALAXY,23.23915,20.14385,21.00887,25.41081,19.85321,NQSO
43,1237645943978525118,GALAXY,22.28472,19.80042,20.67882,23.76186,19.49222,NQSO
44,1237645943978524767,STAR,16.85976,16.63849,16.68324,18.09473,16.61696,NQSO
45,1237645943978459932,GALAXY,22.57598,19.60464,20.60238,25.67965,19.05437,NQSO
46,1237645943978459735,GALAXY,22.53498,19.79263,20.76881,23.14812,19.33468,NQSO
47,1237645943978459559,GALAXY,22.11842,19.23765,20.06659,23.68411,18.8601,NQSO
48,1237645943978459496,GALAXY,22.02816,19.33338,20.1142,25.32245,18.76708,NQSO
49,1237645943978459347,STAR,18.59115,16.8388,17.32567,21.30589,16.5715,NQSO
50,1237645943978459324,STAR,18.92063,17.55904,17.92299,21.08075,17.27047,NQSO
51,1237645943978459322,STAR,20.05293,18.02108,18.66331,23.3984,17.64649,NQSO
52,1237645943978459316,STAR,20.35963,17.57813,18.8861,22.73706,16.84542,NQSO
53,1237645943978394068,GALAXY,21.94025,19.52198,20.16835,24.77451,19.21673,NQSO
54,1237645943978394060,GALAXY,22.50233,22.08414,22.22616,23.42785,21.97398,NQSO
55,1237645943978393995,GALAXY,22.39656,19.55852,20.46079,25.33735,19.11299,NQSO
56,1237645943978393757,STAR,20.16944,19.03833,19.3546,22.12301,18.74055,NQSO
57,1237645943978393752,STAR,17.88072,16.2316,16.69836,20.49903,15.97653,NQSO
58,1237645943978328742,GALAXY,22.20602,19.94029,21.07645,24.19428,19.2549,NQSO
59,1237645943978328664,GALAXY,21.72884,19.38561,20.01332,26.32956,18.93882,NQSO
60,1237645943977607769,GALAXY,22.01249,20.6579,21.19389,24.37969,20.33667,NQSO
61,1237645943977541802,GALAXY,17.81936,16.27817,16.77197,19.98535,15.88602,NQSO
62,1237645943976820842,QSO,19.23413,18.65315,18.78611,19.7476,18.61118,NQSO
63,1237645943976624393,STAR,22.63354,18.95153,21.05256,24.27102,17.80306,NQSO
64,1237645943976493471,GALAXY,20.21799,18.98499,19.40246,22.12639,18.64942,NQSO
65,1237645943976493259,STAR,18.74075,18.0263,18.21218,19.97053,17.93847,NQSO
66,1237645943976493256,GALAXY,18.40509,18.03163,18.16815,19.40927,17.92519,NQSO
67,1237645943976493254,STAR,19.70539,17.74944,18.34638,22.36332,17.40795,NQSO
68,1237645943976493249,STAR,20.30967,18.1919,18.93479,23.3887,17.79162,NQSO
69,1237645943976493233,STAR,20.02485,18.96954,19.26385,22.0913,18.76739,NQSO
70,1237645943976493216,GALAXY,18.68784,17.03297,17.55857,20.66912,16.5907,NQSO
71,1237645943976493208,GALAXY,17.42271,16.47006,16.80514,18.7319,16.18039,NQSO
72,1237645943975837722,GALAXY,16.65203,15.47603,15.9179,18.52309,15.16455,NQSO
73,1237645943973675384,GALAXY,20.9144,18.92878,19.47547,26.23351,18.48061,NQSO
74,1237645943973675213,STAR,20.51438,19.26106,19.55718,22.73532,18.96681,NQSO
75,1237645943973675206,GALAXY,20.09541,18.81398,19.17114,21.08233,18.30487,NQSO
76,1237645943973675184,QSO,20.06154,19.56744,19.79319,20.32895,19.18334,QSO
77,1237645943978590924,QSO,22.74426,20.23543,21.08157,25.22741,19.60675,NQSO
78,1237645943973610025,STAR,23.75328,20.07452,22.49362,24.65866,18.70608,NQSO
79,1237645943973609779,GALAXY,22.28963,20.06835,20.91472,25.27823,19.58711,NQSO
80,1237645943973609726,GALAXY,20.21586,19.31018,19.60975,21.07317,19.52384,NQSO
81,1237645943973609663,STAR,20.59716,18.8852,19.39667,24.58183,18.62265,NQSO
82,1237645943973609661,STAR,21.49279,18.96909,20.07778,23.46488,18.34835,NQSO
83,1237645943973609659,STAR,20.72031,18.67137,19.36941,23.2035,18.25002,NQSO
84,1237645943973609651,GALAXY,19.64798,18.85033,19.16557,20.66989,18.69695,NQSO
85,1237645943973609643,STAR,19.59004,18.11367,18.572,21.68218,17.8654,NQSO
86,1237645943973609608,GALAXY,18.09655,16.62253,17.09886,19.6633,16.32639,NQSO
87,1237645943973609599,STAR,17.89531,17.00606,17.25082,19.48848,16.88047,NQSO
88,1237645943973609591,STAR,18.72881,17.65283,17.98474,20.3257,17.47758,NQSO
89,1237645943973609585,STAR,19.24303,18.55289,18.75685,20.28257,18.49191,NQSO
90,1237645943973609574,QSO,20.21046,19.67883,19.82113,20.27152,19.82376,QSO
91,1237645943973609571,GALAXY,20.07957,19.44911,19.71903,21.14002,19.29553,NQSO
92,1237645943973609570,STAR,20.01401,19.56236,19.67061,20.74672,19.55671,NQSO
93,1237645943973609569,GALAXY,18.64054,17.50126,17.92698,19.77983,17.23646,NQSO
94,1237645943435035168,STAR,23.01396,22.27555,22.3705,24.78304,22.49134,NQSO
95,1237645943435035054,GALAXY,22.63713,21.62456,22.0129,22.16445,21.2102,QSO
96,1237645943435034990,GALAXY,21.5483,21.23589,21.41545,22.40193,21.25293,NQSO
97,1237645943435034889,STAR,21.95298,22.04623,21.85473,22.36859,21.51293,QSO
98,1237645943435034856,STAR,20.1093,19.4539,19.62952,21.32256,19.27303,NQSO
99,1237645943435034831,STAR,20.75634,19.15328,19.59975,23.05635,18.93461,NQSO
100,1237645943435034711,STAR,16.79699,16.06642,16.25049,18.40849,15.99114,NQSO
101,1237645943434969267,STAR,17.18025,15.68092,16.08924,19.72027,15.46981,NQSO
102,1237645943434641602,GALAXY,21.46468,19.56287,20.00626,23.02808,19.30364,NQSO
103,1237645943433659112,GALAXY,22.48066,19.68612,20.72602,24.5879,19.20422,NQSO
104,1237645942906290775,GALAXY,22.5055,20.05058,20.8497,23.43539,19.5883,NQSO
105,1237645942906290513,GALAXY,21.41576,19.59696,20.20148,23.66205,19.16327,NQSO
106,1237645942906224891,GALAXY,20.82105,19.00769,19.64451,22.18467,18.46852,NQSO
107,1237645942906224860,GALAXY,20.70144,18.1783,18.89816,22.27612,17.72237,NQSO
108,1237645942906224685,GALAXY,19.18461,18.17706,18.43596,22.2394,17.84829,NQSO
109,1237645942906159530,GALAXY,20.54004,18.71234,19.36358,24.0071,18.20082,NQSO
110,1237645942906159470,GALAXY,20.18703,18.66785,19.17879,21.46217,18.37854,NQSO
111,1237645942906159240,GALAXY,20.74217,18.51231,19.19371,22.99826,18.00723,NQSO
112,1237645942906093885,GALAXY,20.72662,18.78196,19.45026,22.15167,18.33439,NQSO
113,1237645942906093728,STAR,20.2245,17.2111,18.73617,22.818,16.39845,NQSO
114,1237645942906028522,GALAXY,20.94545,18.36016,19.10754,26.38559,17.88694,NQSO
115,1237648722288641238,GALAXY,21.87316,19.053,20.1026,23.56984,18.37236,NQSO
116,1237648722289819864,GALAXY,19.98508,17.68146,18.40254,21.56348,17.30102,NQSO
117,1237648722289819865,GALAXY,19.5246,17.31391,17.91103,23.28905,16.84769,NQSO
118,1237648722289819869,GALAXY,18.68462,17.90203,18.15331,19.92302,17.65527,NQSO
119,1237648722289885728,GALAXY,22.33801,19.44905,20.4477,26.08784,18.98558,NQSO
120,1237648722289885769,GALAXY,23.33879,19.48919,21.01352,24.36987,18.92534,NQSO
121,1237648722289885918,GALAXY,23.17752,19.62711,20.90658,25.72078,18.89265,NQSO
122,1237648722289885978,GALAXY,23.32333,20.22928,21.61015,25.89713,19.83033,NQSO
123,1237648722289950745,GALAXY,15.79578,15.19089,15.40853,16.69902,15.01745,NQSO
124,1237648722289950748,QSO,20.31923,20.39618,20.32541,20.62046,20.46523,QSO
125,1237648722289950774,GALAXY,15.63839,14.12457,14.61921,17.34337,13.6839,NQSO
126,1237648722289950942,GALAXY,18.05259,16.46816,16.96458,20.08283,16.04915,NQSO
127,1237648722289950959,STAR,19.7122,19.99137,19.82944,20.15558,20.1464,NQSO
128,1237648722289950973,GALAXY,17.34038,16.20108,16.56102,18.97787,15.89516,NQSO
129,1237648722289950980,GALAXY,18.01706,16.62655,17.05901,19.94672,16.28335,NQSO
130,1237648722289951051,GALAXY,19.79703,17.66306,18.28455,21.78377,17.23138,NQSO
131,1237648722289951090,GALAXY,18.27996,17.57318,17.79401,19.55638,17.30269,NQSO
132,1237648722289951095,QSO,21.19093,19.4501,20.36244,22.02478,19.47394,NQSO
133,1237648722289951118,QSO,20.45289,19.93692,20.26435,20.73916,19.59808,QSO
134,1237648722289951464,GALAXY,22.38066,19.835,20.6899,22.74911,18.89898,NQSO
135,1237648722290016260,STAR,17.06548,17.26291,17.25216,18.36362,17.17714,NQSO
136,1237648722290016372,GALAXY,22.25579,19.22231,20.22758,23.86321,18.68682,NQSO
137,1237648722290016409,GALAXY,17.8906,16.56168,17.02067,19.57753,16.21111,NQSO
138,1237648722290016415,GALAXY,18.8724,17.28034,17.81818,20.85881,16.78129,NQSO
139,1237648722290016425,GALAXY,19.1655,17.37544,17.92015,21.69215,16.97602,NQSO
140,1237648722290016499,GALAXY,15.68775,14.12747,14.62401,17.86516,13.74323,NQSO
141,1237648722290016594,GALAXY,20.08173,17.71174,18.3465,22.48745,17.31441,NQSO
142,1237648722290016656,STAR,21.27859,20.89915,20.89751,22.11807,20.73866,NQSO
143,1237648722290016816,STAR,22.9234,21.3446,21.63139,26.26408,21.15019,NQSO
144,1237648722290017044,GALAXY,23.3871,20.00537,21.42963,26.49907,19.48661,NQSO
145,1237648722290081817,GALAXY,22.55594,19.73526,20.75774,23.6747,19.14503,NQSO
146,1237648722290081911,GALAXY,18.6973,16.71051,17.28848,20.74619,16.32548,NQSO
147,1237648722290082130,QSO,21.05982,20.83203,20.81886,21.71386,20.47885,QSO
148,1237648722290082237,QSO,21.56946,21.41636,21.67529,22.94005,20.65546,QSO
149,1237648722290082292,GALAXY,22.09426,19.4623,20.49454,23.89039,18.86923,NQSO
150,1237648722290082489,GALAXY,21.61799,19.82218,20.5777,21.92469,19.84499,NQSO
151,1237648722290147831,QSO,21.33663,20.55291,20.91754,23.03044,20.197,NQSO
152,1237648722290147966,GALAXY,20.89685,18.08511,18.83287,23.01219,17.69726,NQSO
153,1237648722290148030,QSO,21.63045,21.23697,21.4563,22.47481,20.98531,NQSO
154,1237648722290148111,GALAXY,20.81295,18.36943,19.02699,26.05134,17.90011,NQSO
155,1237648722290148184,GALAXY,22.23004,19.65974,20.66405,26.18675,19.25574,NQSO
156,1237648722290213038,QSO,19.74531,19.40418,19.46874,20.00698,19.47058,QSO
157,1237648722290213118,GALAXY,20.69629,18.29015,18.88043,23.34345,17.82327,NQSO
158,1237648722290213142,GALAXY,18.76023,16.95611,17.50941,21.06502,16.54375,NQSO
159,1237648722290213302,STAR,21.98703,21.99788,22.07993,22.54928,21.46155,QSO
160,1237648722290213305,QSO,21.94386,21.36337,21.4913,24.56995,21.50972,NQSO
161,1237648722290278413,GALAXY,16.76,15.60479,15.98199,18.48701,15.30726,NQSO
162,1237648722290278439,GALAXY,18.58806,16.9607,17.52622,20.64719,16.49536,NQSO
163,1237648722290278576,GALAXY,18.09493,17.07841,17.44849,19.63777,16.80395,NQSO
164,1237648722290278590,STAR,19.50904,20.06079,19.78512,19.78714,20.51887,NQSO
165,1237648722290278627,GALAXY,18.4938,17.03374,17.49687,19.83107,16.75326,NQSO
166,1237648722290278708,GALAXY,18.88236,17.12969,17.64269,21.16397,16.80752,NQSO
167,1237648722290278713,GALAXY,19.08874,17.23877,17.75752,20.84854,16.9075,NQSO
168,1237648722290278807,QSO,20.87568,20.45698,20.58046,22.14688,20.26364,NQSO
169,1237648722290279095,QSO,21.18112,19.58563,19.88297,24.3722,19.44234,NQSO
170,1237648722290279239,GALAXY,21.61194,18.81385,19.7646,24.76603,18.27427,NQSO
171,1237648722290279470,GALAXY,23.09441,20.23849,21.45934,24.80364,19.88526,NQSO
172,1237648722290344082,GALAXY,18.14833,17.36384,17.70554,19.23642,17.28202,NQSO
173,1237648722290344109,GALAXY,17.81323,16.26983,16.73398,19.76065,15.90634,NQSO
174,1237648722290344125,STAR,19.7651,19.84826,19.73628,20.18555,19.99561,QSO
175,1237648722290344133,GALAXY,17.47421,16.0235,16.47779,19.50027,15.69113,NQSO
176,1237648722290344145,GALAXY,22.23132,19.35708,20.3371,25.32001,18.99516,NQSO
177,1237648722290344290,QSO,21.01348,20.67883,20.70159,21.46548,20.45879,QSO
178,1237648722290344309,STAR,20.67367,20.36193,20.44891,21.89255,20.63071,NQSO
179,1237648722290344322,QSO,20.20718,19.86131,20.06236,20.68394,19.68175,QSO
180,1237648722290344453,STAR,21.37106,20.47767,20.76197,24.11682,20.41099,NQSO
181,1237648722290344473,GALAXY,21.30038,18.57872,19.56883,23.15997,18.08875,NQSO
182,1237648722290344489,GALAXY,21.84823,19.53156,20.31483,25.48374,19.02285,NQSO
183,1237648722290344570,GALAXY,21.01252,18.53416,19.23527,25.53167,18.05491,NQSO
184,1237648722290344595,GALAXY,21.74414,19.29969,20.11426,22.93784,19.03342,NQSO
185,1237648722290344599,GALAXY,21.44605,18.65295,19.59815,23.84492,18.22979,NQSO
186,1237648722290344630,GALAXY,21.27517,18.72178,19.69654,22.50089,18.27304,NQSO
187,1237648722290344636,GALAXY,22.21679,19.35166,20.30607,25.44696,18.80865,NQSO
188,1237648722290344666,QSO,21.93048,21.81084,22.01748,22.67601,21.2808,QSO
189,1237648722290344688,GALAXY,22.49365,19.82935,20.75602,25.65607,19.34962,NQSO
190,1237648722290344694,GALAXY,21.95862,19.1723,20.29614,25.88097,18.64657,NQSO
191,1237648722290344750,STAR,21.14691,19.33164,20.3141,22.1207,18.52754,NQSO
192,1237648722290344751,GALAXY,20.39631,17.94302,18.6233,23.23635,17.54995,NQSO
193,1237648722290344870,GALAXY,22.37403,19.276,20.24378,22.81639,18.75908,NQSO
194,1237648722290409485,QSO,18.90103,18.47907,18.72341,19.11281,18.45082,QSO
195,1237648722290409494,GALAXY,22.12517,19.82175,20.69434,23.52551,19.37112,NQSO
196,1237648722290409664,GALAXY,18.72437,17.14687,17.65878,20.97851,16.8081,NQSO
197,1237648722290409670,GALAXY,21.54878,18.79194,19.65034,23.56025,18.26167,NQSO
198,1237648722290409692,STAR,18.91259,18.43801,18.58176,19.86967,18.33763,NQSO
199,1237648722290409748,GALAXY,20.41774,17.97502,18.60777,23.22053,17.58094,NQSO
200,1237648722290409794,GALAXY,22.21711,19.52775,20.6573,24.54717,19.15075,NQSO
201,1237648722290409893,GALAXY,21.59455,19.47507,20.25389,22.28165,19.04135,NQSO
202,1237648722288967758,STAR,15.30453,15.13099,15.14883,16.45647,15.16577,NQSO
203,1237648722288509299,STAR,20.83431,20.53154,20.58161,21.59975,20.57318,NQSO
204,1237648722288247083,GALAXY,18.37422,17.02572,17.48381,20.00597,16.69512,NQSO
205,1237648722288181991,GALAXY,23.156,20.41949,21.51718,25.69502,20.14428,NQSO
206,1237648722288181822,GALAXY,19.64365,18.69802,19.48963,21.03405,18.65813,NQSO
207,1237648722287984976,GALAXY,19.97971,17.85793,18.44587,22.53785,17.44516,NQSO
208,1237648722287984796,STAR,16.39266,15.86126,16.00094,17.58026,15.81781,NQSO
209,1237648722290279204,GALAXY,23.50305,20.47698,21.69137,23.3568,20.32714,NQSO
210,1237648722290278858,GALAXY,22.50915,19.87948,20.82592,22.8247,19.29878,NQSO
211,1237648722290278820,STAR,20.4926,20.47859,20.37397,21.80428,20.38611,NQSO
212,1237648722290278687,GALAXY,17.70894,16.45083,16.91657,19.26142,16.15448,NQSO
213,1237648722290278662,GALAXY,18.37084,17.12599,17.59845,20.17966,16.83394,NQSO
214,1237648722290278498,GALAXY,18.59226,18.18419,18.73664,18.82804,18.74824,QSO
215,1237648722290213759,GALAXY,21.76482,19.73548,20.75286,22.15007,19.11354,NQSO
216,1237648722290213007,GALAXY,18.42694,16.71268,17.21139,20.62665,16.28718,NQSO
217,1237648722290213005,GALAXY,17.56625,16.69482,17.05104,18.76327,16.51372,NQSO
218,1237648722290147714,GALAXY,19.45037,17.28953,17.87111,21.46505,16.87418,NQSO
219,1237648722290082504,QSO,21.95905,20.0762,21.02973,25.00572,19.90966,NQSO
220,1237648722289951406,GALAXY,22.69028,20.07713,21.00848,24.82337,19.53154,NQSO
221,1237648722289951035,GALAXY,18.40419,17.35357,17.72597,19.91766,17.12643,NQSO
222,1237648722289951028,GALAXY,18.99315,16.67811,17.30626,22.4398,16.22651,NQSO
223,1237648722289950998,QSO,19.93537,19.4064,19.81448,20.51289,19.22182,QSO
224,1237648722289885620,GALAXY,22.87004,20.28994,21.20739,23.52188,19.68872,NQSO
225,1237648722289885408,QSO,20.87672,20.6629,20.81561,22.03128,20.20283,NQSO
226,1237648722289885254,GALAXY,18.12122,17.22849,17.5453,19.26153,17.05594,NQSO
227,1237648722289820281,GALAXY,22.20714,19.0803,19.92243,23.24132,18.52303,NQSO
228,1237648722289820172,GALAXY,21.90778,19.25554,20.19062,24.13393,18.67929,NQSO
229,1237648722289820077,GALAXY,22.71401,20.24225,21.19596,23.21733,19.5575,NQSO
230,1237648722289819705,STAR,17.11677,16.29281,16.52799,18.5118,16.16359,NQSO
231,1237648722289819691,STAR,17.26467,16.34284,16.62499,18.74109,16.21303,NQSO
232,1237648722289754835,QSO,23.10168,20.63997,21.58197,24.02485,20.45524,NQSO
233,1237648722289754830,GALAXY,22.6429,19.73292,20.64371,23.88863,18.99579,NQSO
234,1237648722289754632,GALAXY,21.23641,18.6846,19.65092,25.70952,18.21696,NQSO
235,1237648722289754582,GALAXY,21.36528,18.63688,19.39651,23.77805,18.04448,NQSO
236,1237648722289754514,QSO,22.61094,22.09973,22.18665,25.03497,21.67693,NQSO
237,1237648722289754230,QSO,20.26558,19.74635,19.75349,20.92034,19.50162,NQSO
238,1237648722289754225,GALAXY,23.55503,19.90371,21.31031,22.95489,19.39541,NQSO
239,1237648722289754220,GALAXY,19.23266,17.31654,17.90115,20.89239,16.86007,NQSO
240,1237648722289754150,GALAXY,23.62508,20.56819,21.85812,23.40235,21.18428,NQSO
241,1237648722289689036,GALAXY,22.06023,19.97638,20.37797,24.39992,19.69,NQSO
242,1237648722289688996,STAR,21.61401,21.23746,21.26675,23.94939,20.69011,NQSO
243,1237648722289688871,GALAXY,19.24642,17.62601,18.19104,20.65203,17.15321,NQSO
244,1237648722289688840,GALAXY,18.41805,16.79583,17.28082,19.83648,16.45795,NQSO
245,1237648722289688686,STAR,17.09855,17.65671,17.39894,17.41572,17.87862,NQSO
246,1237648722289623924,GALAXY,22.76632,20.12599,21.15877,24.30132,19.53687,NQSO
247,1237648722289623840,GALAXY,21.67149,18.97629,19.83273,24.48903,18.4534,NQSO
248,1237648722289623812,GALAXY,21.19702,18.63225,19.30002,22.67135,18.21735,NQSO
249,1237648722289623801,GALAXY,22.16933,19.27859,20.22305,24.56641,18.67597,NQSO
250,1237648722289623731,GALAXY,21.64069,18.75144,19.52182,23.93477,18.31025,NQSO
251,1237648722289623583,GALAXY,22.02004,19.34918,20.47852,22.63781,18.77296,NQSO
252,1237648722289623549,STAR,22.11724,20.95835,21.20989,25.8407,20.93772,NQSO
253,1237648722289623534,GALAXY,21.49568,18.77839,19.59244,26.08846,18.25067,NQSO
254,1237648722289623445,STAR,20.34202,20.09132,20.15495,21.59597,20.03411,NQSO
255,1237648722289623416,GALAXY,19.96529,17.83876,18.43592,21.31006,17.40257,NQSO
256,1237648722289623339,GALAXY,17.45835,16.26816,16.7241,18.71381,15.99526,NQSO
257,1237648722289623338,GALAXY,17.60653,15.95073,16.44622,19.88457,15.53666,NQSO
258,1237648722289623325,GALAXY,19.12347,17.45256,18.00483,21.21679,17.0149,NQSO
259,1237648722289623248,GALAXY,17.30498,15.88871,16.34468,19.26759,15.51945,NQSO
260,1237648722289623245,GALAXY,18.10239,16.65895,17.13637,19.83377,16.30822,NQSO
261,1237648722289623239,GALAXY,17.72996,16.86223,17.19271,18.79729,16.63148,NQSO
262,1237648722289623054,GALAXY,15.34673,13.86735,14.35569,17.42038,13.51059,NQSO
263,1237648722289558493,GALAXY,23.03041,19.85235,21.03854,24.51772,19.37325,NQSO
264,1237648722289558165,QSO,21.79037,21.19145,21.46658,22.60629,20.69539,NQSO
265,1237648722289557973,QSO,21.60588,21.01338,21.27171,25.05345,21.11784,NQSO
266,1237648722289557920,GALAXY,22.4866,19.63395,20.91867,24.69717,19.22374,NQSO
267,1237648722289557692,GALAXY,17.43435,16.02972,16.49164,19.37793,15.65496,NQSO
268,1237648722289557665,GALAXY,18.93661,17.21099,17.70038,20.86006,16.76752,NQSO
269,1237648722289557611,GALAXY,18.11361,16.61419,17.10914,20.12042,16.21893,NQSO
270,1237648722289492556,GALAXY,21.80886,18.99717,19.61818,22.79681,18.54075,NQSO
271,1237648722289492295,QSO,20.79648,20.22747,20.25583,21.08356,19.87569,QSO
272,1237648722289492252,GALAXY,18.94147,17.20476,17.80565,21.03488,16.79115,NQSO
273,1237648722289492224,GALAXY,19.25063,17.316,17.89767,22.02046,16.8499,NQSO
274,1237648722289492081,GALAXY,19.3556,17.42249,18.00409,22.10528,17.00955,NQSO
275,1237648722289426983,GALAXY,20.9671,18.38691,19.18583,21.81778,17.91412,NQSO
276,1237648722289426969,GALAXY,22.12286,18.80989,19.82322,26.73857,18.28472,NQSO
277,1237648722289426797,GALAXY,20.71079,18.08022,18.722,23.2838,17.60807,NQSO
278,1237648722289426782,GALAXY,21.27811,18.73012,19.4793,23.6001,18.22821,NQSO
279,1237648722289426774,GALAXY,22.21941,19.626,20.64711,25.77374,19.13523,NQSO
280,1237648722289426552,QSO,19.10786,18.61721,18.79395,19.83844,18.28526,NQSO
281,1237648722289361646,GALAXY,22.72375,19.70961,21.0847,23.773,18.93684,NQSO
282,1237648722289361639,GALAXY,22.63816,19.78255,20.6531,26.20781,19.36966,NQSO
283,1237648722289361406,STAR,21.42885,20.07828,20.44462,25.70145,19.80637,NQSO
284,1237648722289361394,QSO,21.73368,21.39634,21.60995,22.70154,21.41875,NQSO
285,1237648722289361313,STAR,21.70833,21.03251,21.41478,23.63854,20.82637,NQSO
286,1237648722289361188,GALAXY,21.37397,18.71814,19.37144,22.40956,18.30395,NQSO
287,1237648722289361169,GALAXY,18.33145,17.40476,17.73443,19.54861,17.24175,NQSO
288,1237648722289361131,GALAXY,18.50927,17.29575,17.71777,19.97719,17.00829,NQSO
289,1237648722289361075,GALAXY,17.86916,16.93079,17.33205,18.96964,16.74694,NQSO
290,1237648722289361071,STAR,22.23614,19.08967,20.1589,24.91938,18.463,NQSO
291,1237648722289361065,GALAXY,17.77603,16.13524,16.70563,19.86222,15.69418,NQSO
292,1237648722289361002,GALAXY,20.75846,19.18451,20.88795,21.48,18.73273,NQSO
293,1237648722289360983,GALAXY,21.02848,18.41561,19.17832,24.08823,17.98516,NQSO
294,1237648722289295913,GALAXY,22.77078,19.84144,20.73033,25.8358,19.17973,NQSO
295,1237648722289295861,GALAXY,22.06634,21.2541,21.71604,23.34057,20.84199,NQSO
296,1237648722289295820,QSO,21.08536,20.69256,20.88656,22.58223,20.3665,NQSO
297,1237648722289295614,STAR,20.14654,18.28376,18.43134,23.38624,17.90038,NQSO
298,1237648722289230561,GALAXY,23.35592,19.90365,21.2513,23.15915,19.69298,NQSO
299,1237648722289230404,GALAXY,21.40812,18.9593,19.78477,24.29265,18.52643,NQSO
300,1237648722289230354,GALAXY,20.46766,18.15835,18.77266,25.52445,17.70559,NQSO
301,1237648722289230337,GALAXY,23.18168,19.61127,20.92702,23.79067,19.01528,NQSO
302,1237648722289230091,GALAXY,17.91785,16.47499,16.94429,19.94835,16.12367,NQSO
303,1237648722289230026,GALAXY,18.03446,17.21619,17.54646,19.20284,17.06872,NQSO
304,1237648722289164600,GALAXY,20.44479,19.3544,20.17676,21.30072,18.98973,NQSO
305,1237648722289164476,QSO,19.43109,19.13745,19.2432,19.55578,19.20749,QSO
306,1237648722289164471,GALAXY,18.21076,17.07823,17.52081,19.3323,16.85237,NQSO
307,1237648722289164370,STAR,18.00837,17.87308,17.88833,19.21451,17.91966,NQSO
